biosample	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMN02646214		LAYM01000001.1	146213	147361	-	blaADC-76	extended-spectrum class C beta-lactamase ADC-76	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211237.1	extended-spectrum class C beta-lactamase ADC-76		
SAMN02646214		LAYM01000003.1	29299	30546	+	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.0	97.6	416	ADY84088.1	nickel resistance MFS transporter NreB		
SAMN02646214		LAYM01000006.1	5330	6520	-	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	397	397	100.0	100.0	397	AKA30736.1	chloramphenicol efflux transporter CxpE		
SAMN02646214		LAYM01000006.1	29279	31990	-	gyrA_S81L	Acinetobacter baumannii quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	904	904	100.0	99.67	904	WP_000116450.1	DNA gyrase subunit A GyrA		
SAMN02646214		LAYM01000010.1	80267	81661	+	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	465	465	100.0	95.48	465	AAL14441.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC		
SAMN02646214		LAYM01000017.1	82288	83109	+	blaOXA-68	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021775.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68		
SAMN02646214		LAYM01000021.1	18825	21041	+	parC_S84L	Acinetobacter baumannii quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	739	739	100.0	99.86	739	WP_000202259.1	DNA topoisomerase IV subunit A ParC		
SAMN02646214		LAYM01000021.1	41296	42807	-	aadT	multidrug efflux MFS transporter AadT	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	504	504	100.0	97.82	504	AMD83542.1	multidrug efflux MFS transporter AadT		
SAMN02646214		LAYM01000030.1	34206	34991	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.0	98.85	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
SAMN02646214		LAYM01000032.1	22144	23388	+	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	415	429	96.74	100.0	415	ABO11759.2	fosfomycin efflux MFS transporter AbaF		
